FIPS,POP_ESTIMATE_2018,R_NET_MIG_2018
8115,2303,-12.5
8117,31007,-6.8
8119,25083,17.6
8121,4909,-6.3
8123,314305,20.7
8125,10020,-4.7
9000,3572665,-1.4
9001,943823,-2.5
9003,892697,-1.3
9005,181111,-0.9
9007,162682,0.6
9009,857620,-1.1
9011,266784,-3.9
9013,150921,-0.7
9015,117027,5.5
10000,967171,9
10001,178550,9.6
10003,559335,2.6
10005,229286,24.4
11000,702455,3.8
11001,702455,3.8
12000,21299325,14.6
12001,269956,8.7
12003,28355,2.4
12005,185287,5.3
12007,27732,23.8
12009,596849,18.1
12011,1951260,5.6
12013,14587,12.4
12015,184998,28.4
12017,147929,26.8
12019,216072,16.4
12021,378488,17.9
12023,70503,10.5
12027,37489,5.3
12029,16700,8.6
12031,950181,8.6
12033,315534,5.8
12035,112067,23.8
12037,11736,-1
12039,45894,-3
12041,18256,22.1
12043,13724,12.4
12045,16164,6.6
12047,14310,-6.5
12049,27245,-4.3
12051,41556,3.8
12053,190865,27.9
12055,105424,20
12057,1436888,14.7
12059,19477,3
12061,157413,25.2
12063,48305,1.1
12065,14288,12.4
12067,8732,14.3
12069,356495,35.3
12071,754610,21.7
12073,292502,0.6
12075,40770,15.1
12077,8457,24
12079,18529,5
12081,394855,25.8
12083,359977,21.8
12085,160912,11.9
12086,2761581,2.6
12087,75027,-20.7
12089,85832,36.3
12091,207269,13.5
12093,41537,7.8
12095,1380645,14.4
12097,367990,36.8
12099,1485941,11.1
12101,539630,29.4
12103,975280,10.7
12105,708009,30.5
12107,74163,12.4
12109,254261,40.9
12111,321128,25.5
12113,179349,27.8
12115,426718,23.9
12117,467832,9.8
12119,128754,41.4
12121,44191,4.1
12123,21623,-8.1
12125,14940,-29.3
12127,547538,21.2
12129,32461,9.2
12131,71375,42.4
12133,24880,12.8
13000,10519475,6.1
13001,18507,3.1
13003,8297,4
13005,11185,-7.7
13007,3092,-29
13009,44823,0.1
13011,18988,16.4
13013,80809,19.7
13015,106408,9.5
13017,16787,-12.4
13019,19252,6.8
13021,153095,-1.1
13023,12838,4.7
13025,18897,6.4
13027,15513,-7.3
13029,38109,21.6
13031,77296,11.6
13033,22423,-7.3
13035,24193,5.8
13037,6352,-7.2
13039,53677,3.6
13043,10836,10.6
13045,118121,1.8
13047,67420,13.5
13049,12968,9.5
13051,289195,-4.1
13053,10684,19.5
13055,24790,3.4
13057,254149,20.2
13059,127330,-0.6
13061,2887,-20.2
13063,289615,10
13065,6648,-8
13067,756865,-0.7
13069,43093,0.6
13071,45592,-1.9
13073,154291,12.1
13075,17162,-4
13077,145864,15.2
13079,12318,6.3
13081,22601,-4.7
13083,16226,0.9
13085,25083,29.3
13087,26575,-5.1
13089,756558,-1.8
13091,20705,0.8
13093,13706,3.2
13095,91243,17.2
13097,145331,7
13099,10247,-3.4
13101,4000,12.6
13103,62190,30.1
13105,19120,3
13107,22612,4.9
13109,10721,-5.6
13111,25964,30.4
13113,113459,7.1
13115,97927,4.4
13117,236612,29.5
13119,23023,8.7
13121,1050114,5.7
13123,30816,15.1
13125,2995,-17.5
13127,85219,4.7
13129,57685,6.2
13131,24748,-1.7
13133,17698,31.8
13135,927781,3
13137,45388,17.1
13139,202148,8.6
13141,8348,-14.6
13143,29533,11
13145,34475,17.3
13147,26099,14.9
13149,11879,9.2
13151,230220,17
